Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,target,tenure_ratio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
41,1102,1,2,2,5993,8,11,8,0,6,4,0,5,1,0.75,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
49,279,8,1,3,5130,1,23,10,3,10,7,1,7,0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
37,1373,2,2,4,2090,6,15,7,3,0,0,0,0,1,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
33,1392,3,4,4,2909,1,11,8,3,8,7,3,0,0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
27,591,2,1,1,3468,9,12,6,3,2,2,2,2,0,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
32,1005,2,2,4,3068,0,13,8,2,7,7,3,6,0,0.875,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
59,1324,3,3,3,2670,4,20,12,3,1,0,0,0,0,0.08333333333333333,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
30,1358,24,1,4,2693,1,22,1,2,1,0,0,0,0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
38,216,23,3,4,9526,0,21,10,2,9,7,1,8,0,0.9,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
36,1299,27,3,3,5237,6,13,17,3,7,7,7,7,0,0.4117647058823529,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35,809,16,3,1,2426,0,13,6,5,5,4,0,3,0,0.8333333333333334,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
29,153,15,2,4,4193,0,12,10,3,9,5,0,8,0,0.9,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
31,670,26,1,1,2911,1,17,5,1,5,2,4,3,0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,1346,19,2,2,2661,0,11,3,2,2,2,1,2,0,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
28,103,24,3,3,2028,5,14,6,4,4,2,0,3,1,0.6666666666666666,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
29,1389,21,4,2,9980,1,11,10,1,10,9,8,8,0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,334,5,2,1,3298,0,12,7,5,6,2,0,5,0,0.8571428571428571,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
22,1123,16,2,4,2935,1,13,1,2,1,0,0,0,0,1.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
53,1219,2,4,1,15427,2,16,31,3,25,8,3,7,0,0.8064516129032258,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
38,371,2,3,4,3944,5,11,6,3,3,2,1,2,0,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
24,673,11,2,1,4011,0,18,5,5,4,2,1,3,0,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,1218,9,4,3,3407,7,23,10,4,5,3,0,3,1,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
34,419,7,4,1,11994,0,11,13,4,12,6,2,11,0,0.9230769230769231,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21,391,15,2,3,1232,1,14,0,6,0,0,0,0,0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
34,699,6,1,2,2960,2,11,8,2,4,2,1,3,1,0.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
53,1282,5,3,3,19094,4,11,26,3,14,13,4,8,0,0.5384615384615384,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,1125,16,1,2,3919,1,22,10,5,10,2,6,7,1,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
42,691,8,4,3,6825,0,11,10,2,9,7,4,2,0,0.9,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
44,477,7,4,1,10248,3,14,24,4,22,6,5,17,0,0.9166666666666666,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,705,2,4,2,18947,3,12,22,2,2,2,2,1,0,0.09090909090909091,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,924,2,3,3,2496,4,11,7,3,1,1,0,0,0,0.14285714285714285,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
44,1459,10,4,4,6465,2,13,9,5,4,2,1,3,0,0.4444444444444444,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
30,125,9,2,4,2206,1,13,10,5,10,0,1,8,0,1.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
39,895,5,3,4,2086,3,14,19,6,1,0,0,0,1,0.05263157894736842,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
24,813,1,3,2,2293,2,16,6,2,2,0,2,0,1,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
43,1273,2,2,4,2645,1,12,6,3,5,3,1,4,0,0.8333333333333334,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,869,3,2,1,2683,1,14,3,2,3,2,0,2,1,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
35,890,2,3,4,2014,1,13,2,3,2,2,2,2,0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36,852,5,4,2,3419,9,14,6,3,1,1,0,0,0,0.16666666666666666,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
33,1141,1,3,3,5376,2,19,10,3,5,3,1,3,0,0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,464,4,2,3,1951,1,12,1,3,1,0,0,0,0,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
27,1240,2,4,4,2341,1,13,1,6,1,0,0,0,0,1.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
